,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
4917,0,0.0,0.0,0.0,0.0,8.0,13.0,0,0,0,"(8475692.0, 8476480.0, 8475763.0, 8471686.0, 8480145.0)","(8478866.0, 8471215.0, 8471887.0, 8477969.0, 8471677.0)",
4918,1,0.0,0.0,0.0,0.0,11.0,19.0,0,0,1,"(8478866.0, 8471215.0, 8471887.0, 8476874.0, 8480945.0)","(8475692.0, 8476480.0, 8475763.0, 8471717.0, 8476869.0)",
4919,0,0.0,0.0,0.0,0.0,11.0,19.0,0,0,0,"(8475692.0, 8476480.0, 8475763.0, 8471717.0, 8476869.0)","(8478866.0, 8471215.0, 8471887.0, 8476874.0, 8480945.0)",
4920,0,0.0,0.0,0.0,0.0,19.0,0.0,0,0,0,"(8473544.0, 8473548.0, 8476871.0, 8476874.0, 8480945.0)","(8479353.0, 8476922.0, 8477402.0, 8474031.0, 8476368.0)",
4921,1,0.0,0.0,0.0,0.0,19.0,0.0,0,0,0,"(8479353.0, 8476922.0, 8477402.0, 8474031.0, 8476368.0)","(8473544.0, 8473548.0, 8476871.0, 8476874.0, 8480945.0)",
4922,1,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,"(8477404.0, 8471675.0, 8475810.0, 8476874.0, 8480945.0)","(8479353.0, 8476922.0, 8471657.0, 8471717.0, 8476869.0)",
4923,0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,0,"(8479353.0, 8476922.0, 8471657.0, 8471717.0, 8476869.0)","(8477404.0, 8471675.0, 8475810.0, 8476874.0, 8480945.0)",
4924,1,0.287933,0.0,0.0,0.0,3.0,0.0,0,0,0,"(8471233.0, 8475151.0, 8478401.0, 8472382.0, 8477355.0)","(8476889.0, 8471228.0, 8471260.0, 8480036.0, 8471392.0)",
4925,0,0.0,0.0,0.287933,0.0,16.0,0.0,0,0,0,"(8476889.0, 8471228.0, 8471260.0, 8480036.0, 8471392.0)","(8471233.0, 8475151.0, 8478401.0, 8472382.0, 8477355.0)",
4926,0,0.0,0.0,0.5765229,0.0,28.0,38.0,0,0,0,"(8478401.0, 8476474.0, 8477425.0, 8472382.0, 8476923.0)","(8475794.0, 8471228.0, 8473994.0, 8475906.0, 8477945.0)",1.0
4927,1,0.5765229,0.0,0.0,0.0,26.0,9.0,0,0,0,"(8475794.0, 8471228.0, 8473994.0, 8475906.0, 8477945.0)","(8478401.0, 8476474.0, 8477425.0, 8472382.0, 8476923.0)",-1.0
4928,1,0.0,0.0,0.0,0.0,3.0,0.0,1,1,1,"(8480002.0, 8475151.0, 8479407.0, 8477463.0, 8475222.0)","(8476889.0, 8477406.0, 8469455.0, 8477945.0, 8471392.0)",
4929,0,0.0,0.0,0.0,0.0,7.0,37.0,0,0,0,"(8476889.0, 8477406.0, 8469455.0, 8477945.0, 8471392.0)","(8480002.0, 8475151.0, 8479407.0, 8477463.0, 8475222.0)",
4930,0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,0,"(8471233.0, 8476399.0, 8477961.0, 8477355.0, 8476923.0)","(8475794.0, 8477501.0, 8471228.0, 8475906.0, 8480036.0)",
4931,1,0.0,0.0,0.0,0.0,0.0,36.0,0,0,0,"(8475794.0, 8477501.0, 8471228.0, 8475906.0, 8480036.0)","(8471233.0, 8476399.0, 8477961.0, 8477355.0, 8476923.0)",
4932,1,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,"(8470619.0, 8471226.0, 8478881.0, 8477355.0, 8476923.0)","(8476889.0, 8475752.0, 8471260.0, 8475906.0, 8477945.0)",
4933,0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,"(8476889.0, 8475752.0, 8471260.0, 8475906.0, 8477945.0)","(8470619.0, 8471226.0, 8478881.0, 8477355.0, 8476923.0)",
4934,0,0.0,0.0,0.0,0.0,5.0,36.0,0,0,1,"(8471233.0, 8476399.0, 8477425.0, 8476923.0, 8475222.0)","(8475794.0, 8471228.0, 8478449.0, 8475906.0, 8480036.0)",
